12/01/2018 03:39,,,
Código,Descrição,Início de Vigência,Fim de Vigência
01,FRETE INTERNO - PAIS DE IMPORTACAO,09/05/1996,-
02,SEGURO INTERNO - PAIS DE IMPORTACAO,09/05/1996,-
03,"CARGA, DESCARGA E MANUSEIO - PAIS DE IMPORTACAO",09/05/1996,-
04,DIREITOS E DEMAIS TRIBUTOS,29/04/1996,-
05,JUROS DE FINANCIAMENTO,29/04/1996,-
06,"CONSTRUCAO, INSTALACAO, MONTAGEM",09/05/1996,-
07,OUTRAS DEDUCOES AO VALOR ADUANEIRO,15/09/2011,-
