12/01/2018 04:13,,,,
Código,Descrição,Início de Vigência,Fim de Vigência,Taxa de Conversão
485,LAT,03/01/2014,05/01/2014,"4,6132000"
490,LEK ALBANIA REP,12/01/2018,14/01/2018,"0,0292800"
495,LEMPIRA,12/01/2018,14/01/2018,"0,1380000"
500,LEONE,12/01/2018,14/01/2018,"0,0004244"
503,"LEU/MOLDAVIA, REP",12/01/2018,14/01/2018,"0,1903000"
505,LEU/ROMENIA,28/01/2008,28/01/2008,"0,0000701"
506,NOVO LEU/ROMENIA,12/01/2018,14/01/2018,"0,8391000"
510,"LEV/BULGARIA, REP",12/01/2018,14/01/2018,"1,9894000"
520,LIBRA CIP/CHIPRE,13/02/2009,15/02/2009,"5,0216500"
530,LIBRA/GIBRALTAR,12/01/2018,14/01/2018,"4,4025000"
535,LIBRA EGIPCIA,12/01/2018,14/01/2018,"0,1842000"
540,LIBRA ESTERLINA,12/01/2018,14/01/2018,"4,3876000"
545,LIBRA/FALKLAND,12/01/2018,14/01/2018,"4,4025000"
550,LIBRA/IRLANDA,03/01/2002,03/01/2002,"2,6202700"
560,LIBRA LIBANESA,12/01/2018,14/01/2018,"0,0021570"
565,LIRA/MALTA,22/01/2008,22/01/2008,"2,6109200"
570,LIBRA/STA HELENA,12/01/2018,14/01/2018,"4,3944000"
575,LIBRA SIRIA,12/01/2018,14/01/2018,"0,0063040"
585,LILANGENI/SUAZIL,12/01/2018,14/01/2018,"0,2612000"
595,LIRA ITALIANA,03/01/2002,03/01/2002,"0,0010657"
600,LIRA/TURQUIA,03/05/2001,03/05/2001,"0,0000024"
601,LITA,06/01/2015,06/01/2015,"0,9437000"
603,LOTI/LESOTO,12/01/2018,14/01/2018,"0,2610000"
608,NOVO MANAT TURCOM,12/01/2018,14/01/2018,"0,9303000"
610,MARCO ALEMAO,03/01/2002,03/01/2002,"1,0551200"
615,MARCO FINLANDES,03/01/2002,03/01/2002,"0,3470780"
620,METICAL,20/07/2006,20/07/2006,"0,0864650"
622,NOVA METICAL/MOCA,12/01/2018,14/01/2018,"0,0559800"
625,NAKFA/ERITREIA,12/01/2018,14/01/2018,"0,2164000"
630,NAIRA/NIGERIA,12/01/2018,14/01/2018,"0,0097790"
