12/01/2018 03:40,,,,
CÛdigo,DescriÁ„o,InÌcio de VigÍncia,Fim de VigÍncia,Mercadorias
30,"PRODUTOS DEFINIDOS PELA LEI 10925/04 - ART 1∫, INC IX, C/C LEI 11051/04 - ART 29, C/C DEC 5630/05)",11/04/2006,-,4 - REDUCAO                                                     
31,"PINTOS DE UM DIA - CODIGO 0105.11 DA TIPI (LEI 10925/04 - ART 1∫, INC X, C/C LEI 11051/04 - ART 29, C/C DEC 5630/05)",12/04/2006,-,4 - REDUCAO                                                     
32,"LEITE FLUIDO, CFE DEFINICıES DA LEI 10925/04 - ART 1∫, INC, XI, C/C LEI 11488/08 - ART 32, C/C DECS 5630/05E 6461/08",26/05/2008,-,4 - REDUCAO                                                     
33,"UNIAO, ESTADOS, DISTRITO FEDERAL E MUNICIPIOS, SUAS AUTARQUIAS E FUNDACOES (LEI 10865/04 - ART. 9∫, INC. I, AL. A)",12/04/2006,-,3 - ISENCAO                                                     
34,"MISSOES DIPLOMATICAS, REPARTICOES CONSULARES E RESPECTIVOS INTEGRANTES_(LEI 10865/04 - ART. 9∫, INC. I, AL. B)",12/04/2006,-,3 - ISENCAO                                                     
35,"REPRESENTACOES DE ORGANISMOS INTERNACIONAIS E RESPECTIVOS INTEGRANTES (LEI 10865/04 - ART. 9∫, INC. I, AL. C)",12/04/2006,-,3 - ISENCAO                                                     
36,"AMOSTRAS E REMESSAS POSTAIS INTERNACIONAIS, SEM VALOR COMERCIAL (LEI 10865/04 - ART. 9∫, INC. II, AL. A)",11/04/2006,-,3 - ISENCAO                                                     
37,"REMESSAS POSTAIS E ENCOMENDAS AEREAS INTERNACIONAIS DESTINADAS A PESSOA FISICA (LEI 10865/04 - ART. 1∫, INC. II, AL. B)",12/04/2006,-,3 - ISENCAO                                                     
38,"BAGAGEM E BENS A QUE SE APLIQUEM OS REGIMES DE TRIBUTACAO SIMPLIFICADA/ESPECIAL (LEI 10865/04 - ART 9∫, INC II, AL. C)",12/04/2006,-,3 - ISENCAO                                                     
39,"BENS IMPORTADOS SOB O REGIME ADUANEIRO ESPECIAL DE DRAWBACK/ISENCAO (LEI 10865/04 - ART. 9∫, INC. II, AL. F)",12/04/2006,-,3 - ISENCAO                                                     
40,"OBJETOS DE ARTE - CODIGOS 9701, 9702, 9703 E 9706 DA NCM - RECEBIDOS EM DOACAO (LEI 10865/04 - ART. 9∫, INC. II, AL. G)",12/04/2006,-,3 - ISENCAO                                                     
41,"BENS IMPORTADOS POR INST. CIENTIFICAS E TECNOLOGICAS,CIENTISTAS E PESQUISADORES (LEI 10865/04 - ART 9∫, INC II, AL H)",12/04/2006,-,3 - ISENCAO                                                     
42,"BENS SUBMETIDOS AOS REGIMES ADUANEIROS ESPECIAIS (LEI 10865/04 - ART. 14, CAPUT)",11/04/2006,-,5 - SUSPENSAO                                                   
43,"MAT. PRIMAS, PROD. INTERM. E MAT. DE EMBALAGEM - EMPRESAS DA ZFM (LEI 10865/04 - ART 14-A, C/C LEI 10925/04 - ART 6∫)",11/04/2006,-,5 - SUSPENSAO                                                   
44,"BENS PARA ELABORACAO DE MAT. PRIMAS, PROD. INTERM. E MAT. DE EMBALAGEM - EMPRESAS DA ZFM (LEI 10865/04 - ART 14, PAR 1∫)",12/04/2006,-,5 - SUSPENSAO                                                   
