12/01/2018 04:13,,,,
36,REGRA GERAL DE TRIBUTACAO DA TEC (PARA PRODUTOS DO SETOR AERONAUTICO) - DEC. 2376/97-RES/CAMEX 55/2010-RES/CAMEX 78/2011,,,
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
38,"MONTADORAS E FABRICANTES DE VEICULOS, TRATORES, CARROCERIAS, ETC., REGIOES NORTE, NORDESTE E CENTRO-OESTE - LEI 9440/97",,,
81,"OUTRAS ISENÇÕES, REDUÇÕES E SUSPENSÕES, NÃO SUJEITAS A EXAME DE SIMILARIDADE, NÃO CAPITULADAS NESTA TABELA",,,
91,"TELEVISAO E RADIODIFUSAO - DL 2434/88, ART.2, III, ART 3, DL 2479/88, ART 1, ART 3 - LEI 7988/89, ART 4, IV (REVOGADOS)",,,
93,"SUDENE - DL 2433/88, ART 3,II - LEI 7988/89, ART 4,II (REVOGADOS)",,,
94,"SUDAM - DL 2433/88, ART 3,II - LEI 7988/89, ART 4,II (REVOGADOS)",,,
95,"MONTADORAS E FABRICANTES DE VEICULOS, TRATORES, CARROCERIAS, ETC. - MP 1.100/95 - PORT/MICT 322/95 (REVOGADOS)",,,
96,AUTOPEÇAS NÃO PRODUZIDAS - BENS DE CAPITAL OU BENS DE INFORMÁTICA E TELECOMUNICAÇÃO (ART.2º RESOLUÇÃO CAMEX 116/14).,,,
97,"AUTOPEÇAS P/ PRODUÇÃO DE TRATORES,COLHEITADEIRAS,MÁQ.AGRÍC. E RODV.AUTOPROPULSADAS(38ºPROT.ADIC.AO ACE 14-ART.7º ANEXO).",,,
44,ENERGIA/POTÊNCIA - PAGAMENTO INTEGRAL (IN/SRF Nº 649/2006),,,
92,AUTOPEÇAS NÃO PRODUZIDAS MERCOSUL P/ PRODUÇÃO (ART.1º RESOL. CAMEX 116/2014 / 38º PROT. ADIC. AO ACE 14 - ART.6º ANEXO).,,,
82,REGIME DE TRIBUTACAO UNIFICADA (RTU) LEI 11898/2009,,,
99,"OUTRAS ISENÇÕES, REDUÇÕES E SUSPENSÕES, SUJEITAS A EXAME DE SIMILARIDADE, NÃO CAPITULADAS NESTA TABELA",,,
015,,CONSUMO - SUSPENSÃO,03/01/2018,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
16,"DRAWBACK - DL 37/66, ART 78,I (ISENCAO) - DL 37/66, ART. 78,II (SUSPENSAO) - LEI 8402/92, ART. 1,I",,,
55,"REPOSICAO DE MERCAD. IMPORTADA COM DEFEITO (DEVOLUCAO A POSTERIORI) - DEC 91030/85, ART. 85, II - PORT. MF 150/92, ITEM 4",,,
66,"REPEX - DECRETO 3312/99, IN/SRF 53/00 E IN/SRF 1.078/2010",,,
79,REPORTO - REGIME TRIB. P/INCENTIVO À MODERN. E À AMPLIAçÃO DAESTRUT.PORTUÁRIA - LEI 11.033/04-IN/SRF 477/04 -LEI 11.726/08,,,
98,"EXCLUSIVO RECIPIENTES E EMBALAGENS RETORNAVEIS E SIMILARES - ADM. TEMP. OU REIMPORTACAO - IN RFB 747/07, PORT. SECEX 35/06",,,
67,,,,
74,,,,
75,,,,
51,,,,
46,ADMISSÃO EM RECOF,,,
47,,,,
48,,,,
49,TRANSFERENCIA DE REGIME DE DRAWBACK SUSPENSAO PARA RECOF.,,,
85,"REPENEC: ARTS 1º A 5º LEI 12.249/2010 E ART 18 DEC 7.320/2010, CONFORME IN RFB 1.074/2010 E 1.084/2010",,,
89,"RECOMPE: LEI 12.249/2010, ART.9º,III REGULAMENTADA PELO DECRETO 7.243/2010, ART.5º,III",,,
09,RECOPA - LEI 12350/2010; DECRETOS 7319/2010 E 7525/2011; IN RFB 1176/2011 E 1237/2012,,,
81,"OUTRAS ISENÇÕES, REDUÇÕES E SUSPENSÕES, NÃO SUJEITAS A EXAME DE SIMILARIDADE, NÃO CAPITULADAS NESTA TABELA",,,
99,"OUTRAS ISENÇÕES, REDUÇÕES E SUSPENSÕES, SUJEITAS A EXAME DE SIMILARIDADE, NÃO CAPITULADAS NESTA TABELA",,,
70,BENS DESTINADOS AO REPETRO NA MODALIDADE DEFINITIVA PREVISTA NO INCISO IV DO ART. 458 DO DECRETO Nº6.759/2009,,,
016,,CONSUMO - NAO-INCIDENCIA,11/04/2007,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
71,"REPOSICAO DE MERCADORIA IMPORTADA C/ DEFEITO (DEVOLUCAO JA EFETUADA) - DEC 91030/85, ART 85,II - PORT. MF 150/82, ITEM 2",,,
72,"REIMPORTACAO (EXCETO RECIPIENTES E EMBALAGENS E SIMILARES) DL 37/66, ART. 92, PARAG.4 (REDACAO DO DL 2472/88, ART. 1)",,,
73,"RETORNO DE MERCADORIAS - DL 37/66, ART. 1, PARAG. 1 (REDACAO DO DL 2472/88, ART. 1)",,,
68,"RECOM - REGIME AD. ESPECIAL DE IMPORTAçãO - ART.17 DA MP N.º 1990-28, DE 11/2/2000 E IN SRF N.º 17, DE 16/2/2000.",,,
98,"EXCLUSIVO RECIPIENTES E EMBALAGENS RETORNAVEIS E SIMILARES - ADM. TEMP. OU REIMPORTACAO - IN RFB 747/07, PORT. SECEX 35/06",,,
019,,CONSUMO/PAGAMENTO REALIZADO,14/06/2006,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
68,"RECOM - REGIME AD. ESPECIAL DE IMPORTAçãO - ART.17 DA MP N.º 1990-28, DE 11/2/2000 E IN SRF N.º 17, DE 16/2/2000.",,,
43,CUSTOS DE ENERGIA ELETRICA - EFEITOS CAMBIAIS (IN/SRF Nº 649/06),,,
023,,ADMISSAO EM ENTREPOSTO ADUANEIRO - ISENCAO,22/01/1999,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
22,"EXCLUSIVO LOJA FRANCA - DI CAMBIAL (LEI N. 8032/90, ART. 2º, INC.II, ALINEA ""E"" - LEI Nº 8.402/1992, ART.1º, INC. IV)",,,
025,,ADMISSAO EM ENTREPOSTO ADUANEIRO - SUSPENSAO,05/07/2007,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
52,"ADMISSAO EM ENTREPOSTO ADUANEIRO - DL 1455/76, ART 9º",,,
98,"EXCLUSIVO RECIPIENTES E EMBALAGENS RETORNAVEIS E SIMILARES - ADM. TEMP. OU REIMPORTACAO - IN RFB 747/07, PORT. SECEX 35/06",,,
035,,ADMISSAO EM EIZOF - SUSPENSAO,05/07/2007,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
53,ADMISSAO NO ENTREPOSTO INTERNACIONAL DA ZONA FRANCA DE MANAUS - EIZOF - PORT. INTERM. MEFP/SDR 2/92,,,
98,"EXCLUSIVO RECIPIENTES E EMBALAGENS RETORNAVEIS E SIMILARES - ADM. TEMP. OU REIMPORTACAO - IN RFB 747/07, PORT. SECEX 35/06",,,
045,,ADMISSAO ENTREPOSTO INDUSTRIAL - SUSPENSAO,09/06/2016,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
87,ADMISSÃO EM RECOF SPED (ART. 89 DO DL 37/66),,,
053,,ADMISSAO TEMPORARIA - ISENCAO,22/01/1999,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
22,"EXCLUSIVO LOJA FRANCA - DI CAMBIAL (LEI N. 8032/90, ART. 2º, INC.II, ALINEA ""E"" - LEI Nº 8.402/1992, ART.1º, INC. IV)",,,
055,,ADMISSAO TEMPORARIA - SUSPENSAO,03/01/2018,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
