12/01/2018 03:42,,,
Código,Descrição,Início de Vigência,Fim de Vigência
01,REIMPORTACAO DE BENS CULTURAIS,02/10/1999,-
02,REIMPORTACAO DE MATERIAL DE EMPREGO MILITAR,02/10/1999,-
03,REIMPORTACAO DE BENS ENVIADOS PARA FEIRAS COMERCIAIS E INDUSTRIAIS E PROMOCAO COMERCIAL NO EXTERIOR,02/10/1999,-
04,REIMPORTACAO DE OUTROS BENS NO MESMO ESTADO,02/10/1999,-
05,"REIMPORTACAO DE BENS APOS CONSERTO, REPARO OU RESTAURACAO NO EXTERIOR",02/10/1999,-
