12/01/2018 03:42,,,
Código,Descrição,Início de Vigência,Fim de Vigência
01,"NAO EFETIVACAO DE VENDA, NO PRAZO AUTORIZADO, QUANDO ENVIADOS AO EXTERIOR EM CONSIGNACAO",02/10/1999,-
02,DEFEITO TECNICO PARA REPARO OU SUBSTITUICAO,02/10/1999,-
03,ALTERACAO NAS NORMAS APLICAVEIS A IMPORTACAO DO PAIS IMPORTADOR,02/10/1999,-
04,GUERRA OU CALAMIDADE PUBLICA,02/10/1999,-
05,"MOTIVOS ALHEIOS À VONTADE DO IMPORTADOR (RA, ART 88, II, E)",28/10/1999,-
