12/01/2018 03:42,,,
Código,Descrição,Início de Vigência,Fim de Vigência
03023600,Atuns do sul (Thunnus maccoyii),13/03/2007,-
03023900,Outros,13/03/2007,-
03024000,"Arenques (Clupea harengus, Clupea pallasii),",13/03/2007,-
03025000,"Bacalhaus (Gadus morhua, Gadus ogac, Gadus",13/03/2007,-
03026100,"Sardinhas (Sardina pilchardus, Sardinops spp.),",13/03/2007,-
03026200,Haddocks (eglefinos* ou arincas*) (Melanogrammus,13/03/2007,-
03026300,Peixes-carvão (escamudos negros*) (Pollachius,13/03/2007,-
03026400,"Cavalas, cavalinhas e sardas* (Scomber scombrus,",13/03/2007,-
03026500,Esqualos,13/03/2007,-
03026600,Enguias (Anguilla spp.),13/03/2007,-
03026700,Espadartes (Xiphias gladius),01/01/2008,-
03026800,Marlongas (Dissostichus spp.),01/01/2008,-
03026900,Outros,13/03/2007,-
03027000,"Fígados, ovas e sêmen",13/03/2007,-
03031000,"SALMOES., EXCETO FIGADOS, OVAS E SEMEN",08/02/2013,-
03031100,Salmões vermelhos (Oncorhynchus nerka),13/03/2007,-
03031900,Outros,13/03/2007,-
03032100,"Trutas (Salmo trutta, Oncorhynchus mykiss,",13/03/2007,-
03032200,Salmões-do-atlântico (Salmo salar) e,13/03/2007,-
03032900,Outros,13/03/2007,-
03033100,Linguados-gigantes (alabotes*) (Reinhardtius,13/03/2007,-
03033200,Solhas ou patruças (Pleuronectes platessa),13/03/2007,-
03033300,Linguados (Solea spp.),13/03/2007,-
03033900,Outros,13/03/2007,-
03034100,Atuns-brancos ou germões (Thunnus alalunga),13/03/2007,-
03034200,Albacoras ou atuns-de-barbatanas-amarelas (Thunnus,13/03/2007,-
03034300,Bonitos-listrados ou bonitos-do-ventre-raiado,13/03/2007,-
03034400,Albacoras-bandolim (patudos) (Thunnus obesus),13/03/2007,-
03034500,"Albacoras-azuis (atuns-azuis, atuns-verdadeiros,",13/03/2007,-
03034600,Atuns do sul (Thunnus maccoyii),13/03/2007,-
03034900,Outros,13/03/2007,-
03035000,"Arenques (Clupea harengus, Clupea pallasii),",13/03/2007,-
03035100,"Arenques (Clupea harengus, Clupea pallasii)",01/01/2008,-
03035200,"Bacalhaus (Gadus morhua, Gadus ogac, Gadus macrocephalus)",01/01/2008,-
03036000,"Bacalhaus (Gadus morhua, Gadus ogac, Gadus",13/03/2007,-
03036100,Espadartes (Xiphias gladius),01/01/2008,-
03036200,Marlongas (Dissostichus spp.),01/01/2008,-
03037100,"Sardinhas (Sardina pilchardus, Sardinops spp.),",13/03/2007,-
03037200,Haddocks (eglefinos* ou arincas*) (Melanogrammus,13/03/2007,-
03037300,Peixes-carvão (escamudos negros*) (Pollachius,13/03/2007,-
03037400,"Cavalas, cavalinhas e sardas* (Scomber scombrus,",13/03/2007,-
03037500,Esqualos,13/03/2007,-
03037600,Enguias (Anguilla spp.),13/03/2007,-
03037700,"Percas (robalos* e bailas*) (Dicentrarchus labrax,",13/03/2007,-
03037800,Merluzas (pescadas*) (Merluccius spp.) e abróteas,13/03/2007,-
03037900,Outros,13/03/2007,-
03038000,"Fígados, ovas e sêmen",13/03/2007,-
03041010,Filés,13/03/2007,-
03041090,Outras,13/03/2007,-
03041110,Filés,01/01/2008,-
03041190,Outras,01/01/2008,-
03041210,Filés,01/01/2008,-
03041290,Outras,01/01/2008,-
03041910,Filés,01/01/2008,-
03041990,Outras,01/01/2008,-
03042000,Filés congelados,13/03/2007,-
03042100,Espadartes (Xiphias gladius),01/01/2008,-
03042200,Marlongas (Dissostichus spp.),01/01/2008,-
03042900,Outros,01/01/2008,-
03049000,Outros,13/03/2007,-
03049100,Espadartes (Xiphias gladius),01/01/2008,-
03049200,Marlongas (Dissostichus spp.),01/01/2008,-
03049900,Outros,01/01/2008,-
03051000,"Farinhas, pós e ""pellets"", de peixe, próprios para",13/03/2007,-
03052000,"Fígados, ovas e sêmen, de peixes, secos,",13/03/2007,-
03053010,Secos,13/03/2007,-
03053020,Salgados ou em salmoura,13/03/2007,-
03054100,"Salmões-do-pacífico (Oncorhynchus nerka,",13/03/2007,-
03054200,"Arenques (Clupea harengus, Clupea pallasii)",13/03/2007,-
03054900,Outros,13/03/2007,-
03055100,"Bacalhaus (Gadus morhua, Gadus ogac, Gadus",13/03/2007,-
03055900,Outros,13/03/2007,-
03056100,"Arenques (Clupea harengus, Clupea pallasii)",13/03/2007,-
03056200,"Bacalhaus (Gadus morhua, Gadus ogac, Gadus",13/03/2007,-
03056300,Anchovas (Engraulis spp.),13/03/2007,-
03056900,Outros,13/03/2007,-
03061100,"Lagostas (Palinurus spp., Panulirus spp., Jasus",13/03/2007,-
03061200,"Lavagantes (""homards"") (Homarus spp.)",13/03/2007,-
03061300,Camarões,13/03/2007,-
03061410,Santolas (Lithodes antarcticus),13/03/2007,-
03061490,Outros,13/03/2007,-
03061900,"Outros, incluídos as farinhas, pós e ""pellets"", de",13/03/2007,-
03062100,"Lagostas (Palinurus spp., Panulirus spp., Jasus",13/03/2007,-
03062200,"Lavagantes (""homards"") (Homarus spp.)",13/03/2007,-
03062300,Camarões,13/03/2007,-
03062421,Santolas (Lithodes antarcticus),13/03/2007,-
03062429,Outros,13/03/2007,-
03062490,Outros,13/03/2007,-
03062900,"Outros, incluídos as farinhas, pós e ""pellets"", de",13/03/2007,-
03071000,Ostras,13/03/2007,-
