12/01/2018 04:13,,,,,
Código,Sigla,Descrição,,Início de Vigência,Fim de Vigência
361,-,INDIA,01/01/1901,-
365,-,INDONESIA,01/01/1901,-
372,-,"IRA, REPUBLICA ISLAMICA DO",01/01/1901,-
369,-,IRAQUE,01/01/1901,-
375,-,IRLANDA,01/01/1901,-
379,-,ISLANDIA,01/01/1901,-
383,-,ISRAEL,01/01/1901,-
386,-,ITALIA,01/01/1901,-
391,-,JAMAICA,01/01/1901,-
399,-,JAPAO,01/01/1901,-
396,-,"JOHNSTON, ILHAS",01/01/1901,-
403,-,JORDANIA,01/01/1901,-
411,-,KIRIBATI,01/01/1901,-
420,-,"LAOS, REP.POP.DEMOCR.DO",01/01/1901,-
423,-,"LEBUAN,ILHAS",01/01/1901,-
426,-,LESOTO,01/01/1901,-
427,-,"LETONIA, REPUBLICA DA",01/01/1901,-
431,-,LIBANO,01/01/1901,-
434,-,LIBERIA,01/01/1901,-
438,-,LIBIA,01/01/1901,-
440,-,LIECHTENSTEIN,01/01/1901,-
442,-,"LITUANIA, REPUBLICA DA",01/01/1901,-
445,-,LUXEMBURGO,01/01/1901,-
447,-,MACAU,01/01/1901,-
449,-,"MACEDONIA, ANT.REP.IUGOSLAVA",01/01/1901,-
450,-,MADAGASCAR,01/01/1901,-
455,-,MALASIA,01/01/1901,-
458,-,MALAVI,01/01/1901,-
461,-,MALDIVAS,01/01/1901,-
464,-,MALI,01/01/1901,-
467,-,MALTA,01/01/1901,-
359,-,"MAN, ILHA DE",01/01/1901,-
472,-,MARIANAS DO NORTE,01/01/1901,-
474,-,MARROCOS,01/01/1901,-
476,-,"MARSHALL,ILHAS",01/01/1901,-
477,-,MARTINICA,01/01/1901,-
485,-,MAURICIO,01/01/1901,-
488,-,MAURITANIA,01/01/1901,-
493,-,MEXICO,01/01/1901,-
93,-,MIANMAR (BIRMANIA),01/01/1901,-
499,-,MICRONESIA,01/01/1901,-
490,-,"MIDWAY, ILHAS",01/01/1901,-
505,-,MOCAMBIQUE,01/01/1901,-
494,-,"MOLDAVIA, REPUBLICA DA",01/01/1901,-
495,-,MONACO,01/01/1901,-
497,-,MONGOLIA,01/01/1901,-
498,-,MONTENEGRO,03/06/2006,-
501,-,"MONTSERRAT,ILHAS",01/01/1901,-
507,-,NAMIBIA,01/01/1901,-
508,-,NAURU,01/01/1901,-
517,-,NEPAL,01/01/1901,-
521,-,NICARAGUA,01/01/1901,-
525,-,NIGER,01/01/1901,-
528,-,NIGERIA,01/01/1901,-
531,-,"NIUE,ILHA",01/01/1901,-
535,-,"NORFOLK,ILHA",01/01/1901,-
538,-,NORUEGA,01/01/1901,-
542,-,NOVA CALEDONIA,01/01/1901,-
548,-,NOVA ZELANDIA,01/01/1901,-
556,-,OMA,01/01/1901,-
997,-,ORGANIZACOES INTERNACIONAIS,05/11/2001,-
566,-,"PACIFICO,ILHAS DO (POSSESSAO DOS EUA)",01/01/1901,-
573,-,PAISES BAIXOS (HOLANDA),01/01/1901,-
575,-,PALAU,01/01/1901,-
578,-,PALESTINA,25/01/2011,-
580,-,PANAMA,01/01/1901,-
545,-,PAPUA NOVA GUINE,01/01/1901,-
576,-,PAQUISTAO,01/01/1901,-
586,-,PARAGUAI,01/01/1901,-
589,-,PERU,01/01/1901,-
593,-,"PITCAIRN,ILHA",01/01/1901,-
599,-,POLINESIA FRANCESA,01/01/1901,-
603,-,"POLONIA, REPUBLICA DA",01/01/1901,-
611,-,PORTO RICO,01/01/1901,-
607,-,PORTUGAL,01/01/1901,-
990,-,PROVISAO DE NAVIOS E AERONAVES,01/01/1901,-
623,-,QUENIA,01/01/1901,-
625,-,"QUIRGUIZ, REPUBLICA",01/01/1901,-
628,-,REINO UNIDO,01/01/1901,-
640,-,REPUBLICA CENTRO-AFRICANA,01/01/1901,-
647,-,REPUBLICA DOMINICANA,01/01/1901,-
660,-,"REUNIAO, ILHA",01/01/1901,-
670,-,ROMENIA,01/01/1901,-
675,-,RUANDA,01/01/1901,-
676,-,"RUSSIA, FEDERACAO DA",01/01/1901,-
685,-,SAARA OCIDENTAL,01/01/1901,-
677,-,"SALOMAO, ILHAS",01/01/1901,-
690,-,SAMOA,01/01/1901,-
691,-,SAMOA AMERICANA,01/01/1901,-
697,-,SAN MARINO,01/01/1901,-
710,-,SANTA HELENA,01/01/1901,-
715,-,SANTA LUCIA,01/01/1901,-
693,-,SAO BARTOLOMEU,07/12/2015,-
695,-,"SAO CRISTOVAO E NEVES,ILHAS",01/01/1901,-
700,-,SAO PEDRO E MIQUELON,01/01/1901,-
720,-,"SAO TOME E PRINCIPE, ILHAS",01/01/1901,-
705,-,SAO VICENTE E GRANADINAS,01/01/1901,-
728,-,SENEGAL,01/01/1901,-
735,-,SERRA LEOA,01/01/1901,-
737,-,SERVIA,03/06/2006,-
731,-,SEYCHELLES,01/01/1901,-
699,-,SINT MAARTEN,07/12/2015,-
744,-,"SIRIA, REPUBLICA ARABE DA",01/01/1901,-
748,-,SOMALIA,01/01/1901,-
750,-,SRI LANKA,01/01/1901,-
754,-,SUAZILANDIA,01/01/1901,-
759,-,SUDAO,01/01/1901,-
760,-,SUDAO DO SUL,27/05/2013,-
764,-,SUECIA,01/01/1901,-
767,-,SUICA,01/01/1901,-
770,-,SURINAME,01/01/1901,-
772,-,"TADJIQUISTAO, REPUBLICA DO",01/01/1901,-
776,-,TAILANDIA,01/01/1901,-
780,-,"TANZANIA, REP.UNIDA DA",01/01/1901,-
791,-,"TCHECA, REPUBLICA",01/01/1901,-
782,-,TERRITORIO BRIT.OC.INDICO,01/01/1901,-
795,-,TIMOR LESTE,01/01/1901,-
800,-,TOGO,01/01/1901,-
810,-,TONGA,01/01/1901,-
805,-,"TOQUELAU,ILHAS",01/01/1901,-
815,-,TRINIDAD E TOBAGO,01/01/1901,-
820,-,TUNISIA,01/01/1901,-
