12/01/2018 03:42,,,
Código,Descrição,Início de Vigência,Fim de Vigência
2302002,FARELOS DE ARROZ,01/12/1992,-
2302003,FARELOS DE TRIGO,01/12/1992,-
2302004,FARELOS DOS DEMAIS GRAOS DE CEREAIS,01/12/1992,-
2302005,FARELOS DE LEGUMINOSAS,01/12/1992,-
2302099,OS DEMAIS SEMEAS E OUTROS RESIDUOS DE PENEIR,01/12/1992,-
2303001,"POLPAS DE BETERRABA, BAGACOS DE CANA-DE-ACUC",01/12/1992,-
2303002,BORRAS (FEZES) E RESIDUOS DE CERVEJARIA E DE,01/12/1992,-
2303003,RESIDUOS DA INDUSTRIA DO AMIDO,01/12/1992,-
2303004,AGUAS-MAES UTILIZAVEIS COMO MEIOS DE CULTURA,01/12/1992,-
2303099,OS DEMAIS RESIDUOS SEMELHANTES,01/12/1992,-
2304001,"TORTA, E DEMAIS RESIDUOS DA EXTRACAO DO OLEO",01/12/1992,-
2304002,TORTA E DEMAIS RESIDUOS DA EXTRACAO DO OLEO,01/12/1992,-
2304003,"TORTAS, BAGACO E DEMAIS RESIDUOS DE SOJA, CO",01/12/1992,-
2304004,"TORTAS, BAGACO E DEMAIS RESIDUOS DE AMENDOIM",01/12/1992,-
2304005,"TORTAS, BAGACO E DEMAIS RESIDUOS DE ALGODAO,",01/12/1992,-
2304006,"TORTAS, BAGACO E DEMAIS RESIDUOS  DE  AMENDO",01/12/1992,-
2304007,"TORTAS, BAGACO E DEMAIS RESIDUOS  DE  COCO,",01/12/1992,-
2304008,"TORTAS, BAGACO E DEMAIS RESIDUOS DE ""NABINA""",01/12/1992,-
2304099,AS DEMAIS TORTAS E RESIDUOS DA EXTRACAO DE O,01/12/1992,-
2305001,BORRAS DE VINHO,01/12/1992,-
2305002,TARTARO BRUTO,01/12/1992,-
2306001,PRODUTOS DE ORIGEM VEGETAL DO TIPO DOS UTILI,01/12/1992,-
2307001,"PREPARACOES FORRAGEIRAS, ADICIONADAS DE ACUC",01/12/1992,-
2307002,PREPARACOES COMPOSTAS E MISTURAS ALIMENTICIA,01/12/1992,-
2307003,PREPARACOES ESTIMULANTES E CONDIMENTOS PARA,01/12/1992,-
2307004,BISCOITOS PARA CAES E OUTROS ANIMAIS,01/12/1992,-
2307099,AS DEMAIS PREPARACOES DO TIPO UTILIZADAS NA,01/12/1992,-
2401101,"FUMO SEM ELABORAR, EM FOLHAS, SEM SECAR NEM",01/12/1992,-
2401102,"FUMO OU TABACO SEM ELABORAR COM NERVURA, EM",01/12/1992,-
2401103,"FUMO OU TABACO SEM ELABORAR, EM FOLHAS SECAS",01/12/1992,-
2401109,"OS DEMAIS FUMOS OU TABACO SEM ELABORAR, COM",01/12/1992,-
2401111,FUMO OU TABACO SEM ELABORAR PARCIAL OU TOTAL,01/12/1992,-
2401112,"FUMO OU TABACO SEM ELABORAR, PARCIAL OU TOTA",01/12/1992,-
2401119,"OS DEMAIS FUMOS OU TABACOS SEM ELABORAR, PAR",01/12/1992,-
2401201,RESIDUOS DE FUMO,01/12/1992,-
2402101,"CHARUTOS (INCLUSIVE OS DESPONTADOS); ""PURITO",01/12/1992,-
2402102,CIGARROS,01/12/1992,-
2402103,"FUMO ELABORADO, PARA MASCAR",01/12/1992,-
2402104,RAPE,01/12/1992,-
2402105,"FUMO, PICADO OU DESFIADO",01/12/1992,-
2402199,OS DEMAIS FUMOS OU TABACOS ELABORADOS,01/12/1992,-
2402201,EXTRATOS E SUMOS DE FUMO,01/12/1992,-
2501001,SAL COMUM,01/12/1992,-
2501002,"CLORETO DE SODIO COM MINIMO 99,5% DE PUREZA",01/12/1992,-
2501099,OS DEMAIS TIPOS DE SAL,01/12/1992,-
2502001,"PIRITAS DE FERRO,NAO USTULADAS",01/12/1992,-
2503001,"ENXOFRE, EM BRUTO (MINERAL, NATURAL, NATIVO)",01/12/1992,-
2503002,"ENXOFRE NO ESTADO NATURAL, FUNDIDO",01/12/1992,-
2503099,"OS DEMAIS ENXOFRE DE QUALQUER ESPECIE, COM E",01/12/1992,-
2504001,GRAFITA NATURAL (PLUMBAGINA),01/12/1992,-
2505101,"AREIAS SILICOSAS E QUARTZOSAS, USADAS EM CON",01/12/1992,-
2505102,"AREIAS SILICOSAS E QUARTZOSAS, COM TEOR DE O",01/12/1992,-
2505199,AS DEMAIS AREIAS NATURAIS SILICOSAS E QUARTZ,01/12/1992,-
2505201,"AREIAS NATURAIS, ARGILOSAS E CAOLINICAS",01/12/1992,-
2505901,"AREIAS NATURAIS, FELDSPATICAS",01/12/1992,-
2505999,AS DEMAIS AREIAS NATURAIS DE QUALQUER ESPECI,01/12/1992,-
2506001,QUARTZO EM BRUTO,01/12/1992,-
2506002,"QUARTZITO, EM BRUTO, DESBASTADO OU SIMPLESME",01/12/1992,-
2507001,BENTONITA,01/12/1992,-
2507002,CAOLIM,01/12/1992,-
2507003,TERRA DE FULLER,01/12/1992,-
2507099,"AS DEMAIS ARGILAS, COM EXCLUSAO DAS  ARGILAS",01/12/1992,-
2508001,"GIZ (CARBONATO DE CALCIO, NATURAL)",01/12/1992,-
2510101,FOSFATOS DE CALCIO NATURAIS (TRICALCICOS OU,01/12/1992,-
2510102,FOSFATOS ALUMINOCALCICOS NATURAIS,01/12/1992,-
2510103,APATITA,01/12/1992,-
2510104,GIZ FOSFATADOS,01/12/1992,-
2510201,FOSFATOS DE CALCIO NATURAIS (TRICALCICOS OU,01/12/1992,-
2510202,FOSFATOS ALUMINOCALCICOS NATURAIS,01/12/1992,-
2510203,APATITA,01/12/1992,-
2510204,GIZ FOSFATADOS,01/12/1992,-
2511001,"SULFATO DE BARIO NATURAL (BARITINA, ESPATO P",01/12/1992,-
2511002,CARBONATO DE BARIO NATURAL (WITHERITA),01/12/1992,-
2512001,DIATOMITA,01/12/1992,-
2512002,KIESELGUR,01/12/1992,-
2512099,AS DEMAIS TERRAS SILICIOSAS SEMELHANTES,01/12/1992,-
2513001,PEDRA-POMES,01/12/1992,-
2513002,ESMERIL,01/12/1992,-
2513003,CORINDON NATURAL,01/12/1992,-
2513099,OS DEMAIS ABRASIVOS NATURAIS,01/12/1992,-
2514001,"ARDOSIA EM BRUTO, ESFOLIADA, DESBASTADA OU S",01/12/1992,-
2515101,"ALABASTRO, EM BRUTO (EM BLOCOS, EM PEDACOS)",01/12/1992,-
2515102,ALABASTRO SERRADO,01/12/1992,-
2515201,"MARMORE, EM BRUTO (EM BLOCOS, EM PEDACOS)",01/12/1992,-
2515202,"MARMORE SERRADO, ATE 5 CENTIMETROS DE ESPESS",01/12/1992,-
2515203,"MARMORE SERRADO, DE MAIS DE 5 CM DE ESPESSUR",01/12/1992,-
2515301,"PEDRA DE TIVOLI (TRAVERTINOS), EM BRUTO (EM",01/12/1992,-
2515302,"PEDRA DE TIVOLI (TRAVERTINO), SERRADA",01/12/1992,-
2515901,OUTROS GRANITOS BELGAS E DEMAIS PEDRAS CALCA,01/12/1992,-
2515902,OUTROS GRANITOS BELGAS E DEMAIS PEDRAS CALCA,01/12/1992,-
2516101,"GRANITO, EM BRUTO (EM BLOCOS, EM PEDACOS)",01/12/1992,-
2516102,GRANITO SERRADO,01/12/1992,-
2516201,"PORFINO EM BRUTO (EM BLOCOS, EM PEDACOS)",01/12/1992,-
2516202,PORFINO SERRADO,01/12/1992,-
2516301,"BASALTO EM BRUTO (EM BLOCOS, EM PEDACOS)",01/12/1992,-
2516302,BASALTO SERRADO,01/12/1992,-
2516901,OUTROS GRES E OUTRAS PEDRAS DE CANTARIA OU D,01/12/1992,-
2516902,"OUTRAS PEDRAS DE CANTARIA OU DE CONSTRUCAO,",01/12/1992,-
2517001,SILEX,01/12/1992,-
2517002,MACADAME E PEDRAS BRITADAS,01/12/1992,-
2517003,PEDREGULHOS (SEIXOS ROLADOS),01/12/1992,-
2517004,GRANULOS DE MARMORE,01/12/1992,-
2517099,OS DEMAIS TIPOS DE PEDRAS,01/12/1992,-
2518001,DOLOMITA EM BRUTO,01/12/1992,-
2518002,DOLOMITA CALCINADA,01/12/1992,-
2518003,DOLOMITA AGLOMERADA,01/12/1992,-
2519101,CARBONATO DE MAGNESIO NATURAL (MAGNESITA),01/12/1992,-
2519201,MAGNESIA ELETROFUNDIDA,01/12/1992,-
2519202,MAGNESIA CALCINADA A MORTE (SINTERIZADA),01/12/1992,-
2519203,MAGNESIA CAUSTICA,01/12/1992,-
2519204,OXIDO DE MAGNESIO QUIMICAMENTE PURO,01/12/1992,-
2519299,OS DEMAIS OXIDOS DE MAGNESIO,01/12/1992,-
2520001,GESSO EM BRUTO OU CRU,01/12/1992,-
2520002,"GESSO MOIDO OU EM PO, EXCETO CALCINADO",01/12/1992,-
2520003,"GESSOS CALCINADOS, SEM ADICAO DE OUTROS PROD",01/12/1992,-
2520099,"OS DEMAIS TIPOS DE GESSO, INCLUSIVE COLORIDO",01/12/1992,-
2521001,CASTINAS E PEDRAS CALCAREAS UTILIZADAS NA FA,01/12/1992,-
2522001,CAL ORDINARIA,01/12/1992,-
2522002,CAL HIDRAULICA,01/12/1992,-
2523001,"""CLINKERS""",01/12/1992,-
2523002,CIMENTO BRANCO,01/12/1992,-
2523003,CIMENTO PORTLAND,01/12/1992,-
2523004,CIMENTOS ALUMINOSOS (CIMENTOS FUNDIDOS),01/12/1992,-
2523099,"OS DEMAIS CIMENTOS, MESMO COLORIDOS",01/12/1992,-
2524001,"AMIANTO ( ASBESTO ), EM BRUTO",01/12/1992,-
2524002,"AMIANTO ( ASBESTO ), EM FIBRAS",01/12/1992,-
2524003,"AMIANTO ( ASBESTO ), EM PO",01/12/1992,-
2526101,MICA EM BRUTO (LAMINAS IRREGULARES),01/12/1992,-
2526102,MICA EM PO,01/12/1992,-
2526201,DESPERDICIOS DE MICA,01/12/1992,-
2527101,ESTEATITA EM BRUTO,01/12/1992,-
2527199,OS DEMAIS ESTEATITOS,01/12/1992,-
2527201,TALCO EM BRUTO,01/12/1992,-
2527299,OS DEMAIS TALCOS,01/12/1992,-
2528001,CRIOLITA NATURAL,01/12/1992,-
2528002,QUIOLITA NATURAL,01/12/1992,-
2530001,ACIDO BORICO NATURAL,01/12/1992,-
2530002,"BORATO DE CALCIO (PANDERMITA,PRICEITA E OUTR",01/12/1992,-
2530003,BORATO DE MANGANES,01/12/1992,-
2530004,BORATOS DE MAGNESIO,01/12/1992,-
2530005,BORATOS DE SODIO (BORAX NATURAL),01/12/1992,-
2530099,OS DEMAIS BORATOS NATURAIS EM BRUTO E SEUS C,01/12/1992,-
2531001,ESPATOFLUOR (FLUORITA),01/12/1992,-
2531002,FELDSPATO,01/12/1992,-
2531099,"AS DEMAIS LEUCITA, NEFELINA E NEFELINA SIENI",01/12/1992,-
2532101,TERRAS CORANTES OCRES,01/12/1992,-
2532102,TERRA CORANTE DE SIENA,01/12/1992,-
2532103,TERRA CORANTE DE SOMBRA,01/12/1992,-
2532109,"AS DEMAIS TERRAS CORANTES, MESMO CALCINADAS",01/12/1992,-
2532111,OXIDO VERMELHO,01/12/1992,-
2532119,OS DEMAIS OXIDOS DE FERRO MICACEOS NATURAIS,01/12/1992,-
2532201,ESPUMA-DA-MAR NATURAL OU RECONSTITUIDA,01/12/1992,-
2532202,AMBAR NATURAL E O RECONSTITUIDO,01/12/1992,-
2532203,AZEVICHE,01/12/1992,-
2532301,BISSULFETO (ROSALGAR),01/12/1992,-
2532302,TRISSULFETO (OUROPIMENTA),01/12/1992,-
2532399,OS DEMAIS SULFETOS DE ARSENICO NATURAIS,01/12/1992,-
2532901,"SULFATOS NATURAIS DE SODIO (GLAUBERITA, POLI",01/12/1992,-
2532902,"TERRAS DE POZOLANA, SANTORINO, ""TRASS"" E SEM",01/12/1992,-
2532903,"VERMICULITA, CLORITAS, PERLITA",01/12/1992,-
2532904,MINERAIS DOS METAIS RADIOATIVOS DA POSICAO 2,01/12/1992,-
2532905,MINERAIS DOS METAIS DAS TERRAS RARAS,01/12/1992,-
2532906,ALUMITA,01/12/1992,-
2532907,ESTRONCIANITA (CARBONATO DE ESTRONCIO NATURA,01/12/1992,-
2532999,AS DEMAIS MATERIAS MINERAIS NAO ESPECIFICADA,01/12/1992,-
2601101,PIRITAS DE FERRO USTULADAS (CINZAS DE PIRITA,01/12/1992,-
2601201,HEMATITAS VERMELHAS (OXIDOS DE FERRO VERMELH,01/12/1992,-
2601202,HEMATITAS PARDAS (OXIDOS HIDRATADOS DE FERRO,01/12/1992,-
2601203,LIMONITA (OXIDO HIDRATADO DE FERRO),01/12/1992,-
2601204,MAGNETITA (OXIDO MAGNETICO DE FERRO),01/12/1992,-
2601205,SIDERITA OU DIDEROSA (CARBONATO NATURAL DE F,01/12/1992,-
2601299,"OS DEMAIS MINERIOS DE FERRO, CONCENTRADOS, S",01/12/1992,-
2601301,HEMATITAS VEMELHAS (OXIDO DE FERRO VERMELHO),01/12/1992,-
2601302,HEMATITAS PARDAS (OXIDOS HIDRATADOS DE FERRO,01/12/1992,-
2601303,LIMONITA (OXIDO HIDRATADO DE FERRO),01/12/1992,-
2601304,MAGNETITA (OXIDO MAGNETICO DE FERRO),01/12/1992,-
2601305,SIDERITA OU SIDEROSA (CARBONATO NATURAL DE F,01/12/1992,-
2601399,"OS DEMAIS MINERIOS DE FERRO AGLOMERADOS (""SI",01/12/1992,-
2601401,ATACAMITA (CLORETO BASICO),01/12/1992,-
2601402,AZURITA (CARBONATO BASICO),01/12/1992,-
2601403,BORNITA (SULFETO DE COBRE E FERRO),01/12/1992,-
2601404,CALCOSINA (SULFETO),01/12/1992,-
2601405,"CALCOPIRITA (PIRITA DE COBRE, SULFETO DE COB",01/12/1992,-
2601406,CUPRITA (OXIDO CUPROSO),01/12/1992,-
2601407,MALAQUITA (CARBONATO BASICO),01/12/1992,-
2601408,TENORITA (OXIDO CUPRICO),01/12/1992,-
2601499,OS DEMAIS MINERIOS DE COBRE,01/12/1992,-
2601501,GARNIERITA (SILICATO DUPLO DE NIQUEL E MAGNE,01/12/1992,-
2601502,NIQUELINA OU NIQUELITA (ARSENIURO),01/12/1992,-
2601503,PENTLANDITA (SULFETO DE NIQUEL E FERRO),01/12/1992,-
2601504,PIRROTITA (SULFETO DE FERRO NIQUELIFERO),01/12/1992,-
2601599,OS DEMAIS MINERIOS DE NIQUEL,01/12/1992,-
2601601,BAUXITA,01/12/1992,-
2601602,BAUXITA CALCINADA,01/12/1992,-
2601699,OS DEMAIS MINERIOS DE ALUMINIO,01/12/1992,-
2601701,ANGLESITA (SULFATO),01/12/1992,-
2601702,CERUSITA (CARBONATO),01/12/1992,-
2601703,GALENA (SULFETO),01/12/1992,-
2601799,OS DEMAIS MINERIOS DE CHUMBO,01/12/1992,-
2601801,BLENDA (SULFETO),01/12/1992,-
2601802,CALAMINA (HIDROSSILICATO),01/12/1992,-
2601803,SMITHSONITA (CARBONATO),01/12/1992,-
2601804,CINCITA (OXIDO),01/12/1992,-
2601899,OS DEMAIS MINERIOS DE ZINCO,01/12/1992,-
2601901,CASITERITA (OXIDO),01/12/1992,-
2601902,"ESTANITA (SULFETO DE ESTANHO, COBRE E FERRO)",01/12/1992,-
2601909,OS DEMAIS MINERIOS DE ESTANHO,01/12/1992,-
2601911,BRAUNITA (SESQUIOXIDO),01/12/1992,-
2601912,DIAGOLITA OU RODOCROSITA (CARBONATO),01/12/1992,-
2601913,HAUSMANITA (OXIDO SALINO),01/12/1992,-
2601914,MANGANITA OU ACERDESA (SESQUIOXIDO HIDRATADO,01/12/1992,-
2601915,SILOMELANA (BIOXIDO HIDRATADO),01/12/1992,-
2601916,PIROLUSITA (BIOXIDO),01/12/1992,-
2601919,"OS DEMAIS MINERIOS DE MANGANES, INCLUSIVE OS",01/12/1992,-
2601921,CROMITA (OXIDO DE CROMO E FERRO),01/12/1992,-
2601929,OS DEMAIS MINERIOS DE CROMO,01/12/1992,-
2601931,FERBERITA (VOLFRAMATO DE FERRO),01/12/1992,-
2601932,HUBNERITA (VOLFRANATO DE FERRO MANGANES),01/12/1992,-
2601933,SCHEELITA (VOLFRANATO E CALCIO),01/12/1992,-
2601934,VOLFRAMITA (VOLFRAMATO DE FERRO E MANGANES),01/12/1992,-
2601939,OS DEMAIS MINERIOS DE VOLFRANIO (TUNGSTENIO),01/12/1992,-
2601941,"MINERIO DE MOLIBDENIO, TOSTADOS",01/12/1992,-
2601942,MINERIO DE NIOBIO,01/12/1992,-
2601943,MINERIO DE TANTALO,01/12/1992,-
2601944,MINERIO DE TITANIO,01/12/1992,-
2601945,MINERIO DE VANADIO,01/12/1992,-
2601946,SILICATOS DE ZIRCONIO,01/12/1992,-
2601947,OS DEMAIS MINERIOS DE MOLIBDENIO,01/12/1992,-
2601949,MINERIO DE ZIRCONIO,01/12/1992,-
2601951,MINERIO DE BERILIO OU GLUCINIO,01/12/1992,-
2601952,MINERIO DE BISMUTO,01/12/1992,-
2601953,MINERIO DE COBALTO,01/12/1992,-
2601954,MINERIO DE ANTIMONIO,01/12/1992,-
2601955,MINERIO DE MERCURIO,01/12/1992,-
2601959,OS DEMAIS MINERIOS DE METAIS COMUNS,01/12/1992,-
2601961,AUTUNITA (FOSFATO DE URANIO E CALCIO),01/12/1992,-
2601962,CARNOTITA (VANADATO DE URANIO E POTASSIO HID,01/12/1992,-
2601963,"TORBERNITA (CALCOLITA, FOSFATO DE URANIO E C",01/12/1992,-
2601964,PECHBLENDA (OXIDO SALINO),01/12/1992,-
2601965,URANOTORIANITA (OXIDO DE URANIO E TORIO),01/12/1992,-
2601969,OS DEMAIS MINERIOS DE URANIO,01/12/1992,-
2601971,MONAZITA (FOSFATO DE TORIO E DE TERRAS RARAS,01/12/1992,-
2601972,TORITA (SILICATO HIDRATADO),01/12/1992,-
2601979,OS DEMAIS MINERIOS DE TORIO,01/12/1992,-
2601981,MINERIO DE PRATA,01/12/1992,-
2601982,MINERIO DE PLATINA E DOS METAIS DO GRUPO DE,01/12/1992,-
2601983,AREIAS PLATINIFERAS,01/12/1992,-
2601991,CALAVERITA (TELURETO DE OURO E PRATA),01/12/1992,-
2601992,AREIAS AURIFERAS,01/12/1992,-
2601999,OS DEMAIS MINERIOS DE OURO,01/12/1992,-
2602001,ESCORIAS,01/12/1992,-
2602099,OS DEMAIS ESCORIAS E OUTROS RESIDUOS DA FABR,01/12/1992,-
2603001,"ESCORIAS,ESPUMAS",01/12/1992,-
2603002,MATES DE GALVANIZACAO,01/12/1992,-
2603003,LAMAS ELETROLITICAS,01/12/1992,-
2603004,OXIDOS DE COBALTO IMPUROS,01/12/1992,-
2603099,AS  DEMAIS  CINZAS E RESIDUOS (COM EXCECAO D,01/12/1992,-
2604001,CINZAS DE ORIGEM MINERAL,01/12/1992,-
2604002,ESCORIAS DE ORIGEM VEGETAL,01/12/1992,-
2604003,CINZAS DE ALGAS,01/12/1992,-
2604004,CINZAS DE OSSOS,01/12/1992,-
2604099,"AS DEMAIS ESCORIAS E CINZAS, INCLUIDAS AS CI",01/12/1992,-
2701101,HULHA,01/12/1992,-
2701102,HULHA MIUDA,01/12/1992,-
2701103,ANTRACITO,01/12/1992,-
2701201,AGLOMERADOS DE HULHA,01/12/1992,-
2701202,AGLOMERADOS DE ANTRACITO,01/12/1992,-
2701299,"OS DEMAIS AGLOMERADOS (BOLAS, BRIQUETES E SE",01/12/1992,-
2702001,"LINHITOS, INCLUSIVE PULVERIZADOS, COM EXCLUS",01/12/1992,-
2702002,"LINHITOS AGLOMERADOS (OVOIDES, BRINQUETES E",01/12/1992,-
2703001,"TURFA, INCLUSIVE COMPRIMIDA EM BALAS, COM EX",01/12/1992,-
2703002,AGLOMERADOS DE TURFA,01/12/1992,-
2704101,COQUES DE HULHA,01/12/1992,-
2704102,SEMICOQUES DE HULHA,01/12/1992,-
2704201,COQUES DE LINHITO E DE TURFA,01/12/1992,-
2704202,SEMICOQUES DE LINHITO E DE TURFA,01/12/1992,-
2704301,CARVAO DE RETORTA,01/12/1992,-
2705001,GAS DE ILUMINACAO,01/12/1992,-
2705099,GAS POBRE E GAS DE AGUA,01/12/1992,-
2706001,ALCATROES DE HULHA,01/12/1992,-
2706099,OS DEMAIS ALCATROES DE LINHITO OU DE TURFA E,01/12/1992,-
2707101,OLEOS BRUTOS LEVES,01/12/1992,-
2707102,OLEOS BRUTOS PESADOS,01/12/1992,-
2707201,BENZOL EM BRUTO,01/12/1992,-
2707202,BENZOL REFINADO,01/12/1992,-
2707211,TOLUOL EM BRUTO,01/12/1992,-
2707212,TOLUOL REFINADO,01/12/1992,-
2707221,XILENOL EM BRUTO,01/12/1992,-
2707222,XILENOL REFINADO,01/12/1992,-
2707231,NAFTA DISSOLVENTE EM BRUTO,01/12/1992,-
2707232,NAFTA DISSOLVENTE REFINADA,01/12/1992,-
2707241,PRODUTO ANTRACENICO EM BRUTO,01/12/1992,-
2707242,PRODUTO ANTRACENICO REFINADO,01/12/1992,-
2707251,PRODUTO FENOLICO EM BRUTO,01/12/1992,-
2707252,PRODUTO FENOLICO REFINADODO,01/12/1992,-
2707261,PRODUTO NAFTALENICO EM BRUTO,01/12/1992,-
2707262,PRODUTO NAFTALENICO REFINADOO,01/12/1992,-
2707271,PRODUTO PIRIDICO EM BRUTO,01/12/1992,-
2707272,PRODUTO PIRIDICO REFINADO,01/12/1992,-
2707291,OS DEMAIS PRODUTOS DE DESTILACAO OU FRACIONA,01/12/1992,-
2707292,OS DEMAIS PRODUTOS DE DESTILACAO OU FRACIONA,01/12/1992,-
2708001,BREU DE HULHA OU DE OUTROS ALCATROES MINERAI,01/12/1992,-
2708002,COQUE DE BREU OU DE OUTROS ALCATROES MINERAI,01/12/1992,-
2709001,OELOS BRUTOS DE PETROLEO OU DE MINERAIS BETU,01/12/1992,-
2710101,PETROLEOS SEMI-REFINADOS,01/12/1992,-
2710102,OLEOS BRUTOS QUE SOFRERAM DESTILACAO PRIMARI,01/12/1992,-
2710201,"""GAS OIL"" (""DIESEL OIL"")",01/12/1992,-
2710202,"""FUEL OIL""",01/12/1992,-
2710301,"ETERES DE PETROLEO (NAFTA SOLVENTE, BENZINA",01/12/1992,-
2710311,GASOLINA PARA AVIACAO,01/12/1992,-
2710312,GASOLINA PARA OUTROS USOS,01/12/1992,-
2710313,"CARBURANTES TIPO GASOLINA, PARA REATORES E T",01/12/1992,-
2710321,CARBURETOS TIPO QUEROSENE PARA REATORES E TU,01/12/1992,-
2710331,"""WHITE SPIRITS""",01/12/1992,-
2710391,OUTROS OLEOS LEVES E AS PREPARACOES,01/12/1992,-
2710392,OUTROS OLEOS MEDIOS E AS PREPARACOES,01/12/1992,-
2710401,OLEOS LUBRIFICANTES E AS PREPARACOES BRANCOS,01/12/1992,-
2710402,OLEOS LUBRIFICANTES E AS PREPARACOES DE FUSO,01/12/1992,-
2710499,OS DEMAIS OLEOS LUBRIFICANTES E AS PREPARACO,01/12/1992,-
2710501,GRAXAS LUBRIFICANTES E AS PREPARACOES SEM CO,01/12/1992,-
2710599,AS DEMAIS GRAXAS LUBRIFICANTES E AS PREPARAC,01/12/1992,-
2710901,OLEOS PARA TRANSFORMADORES,01/12/1992,-
2710902,LIQUIDOS PARA TRANSMISSORES E FREIOS HIDRAUL,01/12/1992,-
2710903,TETRAMERO DE PROPILENO,01/12/1992,-
2710904,OUTRAS PREPARACOES DE OLEOS PESADOS,01/12/1992,-
2710999,OS DEMAIS OLEOS DE PETROLEO OU MINERAIS BETU,01/12/1992,-
2711001,BUTANO LIQUEFEITO,01/12/1992,-
2711002,PROPANO LIQUEFEITO,01/12/1992,-
2711003,METANO LIQUEFEITO,01/12/1992,-
2711004,MISTURA DE BUTANO E PROPANO LIQUEFEITOS,01/12/1992,-
2711005,"OUTROS HIDROCARBONETOS GASOSOS, LIQUEFEITOS",01/12/1992,-
2711099,OS DEMAIS GAS DE PETROLEO E OUTROS HIDROCARB,01/12/1992,-
2712001,VASELINA EM BRUTO (PETROLATUM),01/12/1992,-
2712002,VASELINA PURIFICADA,01/12/1992,-
2712003,VASELINA ARTIFICIAL,01/12/1992,-
2713101,PARAFINA,01/12/1992,-
2713102,PARAFINAS SINTETICAS,01/12/1992,-
2713201,CERAS DE PETROLEO,01/12/1992,-
2713301,CERAS MINERAIS DE LINHITO,01/12/1992,-
2713302,CERAS MINERAIS DE TURFA,01/12/1992,-
2713303,CERA MINERAL OZOCERITA E CERESINA,01/12/1992,-
2713399,AS DEMAIS CERAS MINERAIS,01/12/1992,-
2713901,RESIDUOS PARAFINICOS,01/12/1992,-
2714001,COQUE DE PETROLEO,01/12/1992,-
2714002,BETUME DE PETROLEO ( ASFALTO OU PEZ DE PETRO,01/12/1992,-
2714099,OS DEMAIS RESIDUOS DOS OLEOS DE PETROLEO OU,01/12/1992,-
2715001,BETUMES NATURAIS E ASFALTOS NATURAIS; XISTOS,01/12/1992,-
2716001,"BETUMES FLUIDIFICADOS (""CUT-BACKS"")",01/12/1992,-
2716002,MASTIQUES BETUMINOSOS,01/12/1992,-
2716099,AS DEMAIS MISTURAS BETUMINOSAS A BASE DE ASF,01/12/1992,-
2717001,ENERGIA ELETRICA,01/12/1992,-
2801101,FLUOR,01/12/1992,-
2801201,CLORO,01/12/1992,-
2801301,BROMO,01/12/1992,-
2801401,IODO EM BRUTO,01/12/1992,-
2801402,IODO SUBLIMADO,01/12/1992,-
2802001,ENXOFRE SUBLIMADO OU PRECIPITADO,01/12/1992,-
2802002,ENXOFRE COLOIDAL,01/12/1992,-
2803001,"CARBONO (PRINCIPALMENTE, NEGROS-DE-FUMO )",01/12/1992,-
2804101,OXIGENIO,01/12/1992,-
2804102,OZONIO,01/12/1992,-
2804201,NITROGENIO,01/12/1992,-
2804301,HIDROGENIO,01/12/1992,-
2804401,ARGONIO,01/12/1992,-
2804402,CRIPTONIO,01/12/1992,-
2804403,HELIO,01/12/1992,-
2804404,NEONIO,01/12/1992,-
2804405,XENONIO,01/12/1992,-
2804901,ARSENICO,01/12/1992,-
2804902,BORO,01/12/1992,-
2804903,FOSFORO BRANCO,01/12/1992,-
2804904,FOSFORO VERMELHO OU AMORFO,01/12/1992,-
2804905,SELENIO,01/12/1992,-
2804906,SILICIO,01/12/1992,-
2804907,TELURIO,01/12/1992,-
2805101,CESIO,01/12/1992,-
2805102,LITIO,01/12/1992,-
2805103,POTASSIO,01/12/1992,-
2805104,RUBIDIO,01/12/1992,-
2805105,SODIO,01/12/1992,-
2805201,BARIO,01/12/1992,-
2805202,CALCIO,01/12/1992,-
2805203,ESTRONICO,01/12/1992,-
2805301,CERIO,01/12/1992,-
2805399,"OS DEMAIS METAIS DAS TERRAS RARAS, ITRIO E E",01/12/1992,-
2805401,MERCURIO,01/12/1992,-
2806101,"ACIDO CLORIDRICO (MURIATICO, ESPIRITO DE SAL",01/12/1992,-
2806102,"ACIDO CLORIDRICO (MURIATICO, ESPIRITO DE SAL",01/12/1992,-
2806201,ACIDO CLOROSSULFURICO,01/12/1992,-
2808001,ACIDO SULFURICO,01/12/1992,-
2808002,OLEUM ( ACIDO SULFURICO FUMEGANTE ),01/12/1992,-
2809001,ACIDO NITRICO,01/12/1992,-
2809002,ACIDOS SULFONITRICOS (MISTURAS SULFONITRICAS,01/12/1992,-
2810101,ANIDRIDO (PENTOXIDO DE FOSFORO),01/12/1992,-
2810102,NEVE FOSFORICA (MISTURA DAS FORMAS DE PRESEN,01/12/1992,-
2810201,ACIDO MATAFOSFORICO (ACIDO FOSFORICO GLACIAL,01/12/1992,-
2810202,POLIMEROS DO ACIDO METAFOSFORICO,01/12/1992,-
2810203,ACIDO PIROFOSFORICO,01/12/1992,-
2810204,ACIDO ORTOFOSFORICO (ACIDO FOSFORICO ORDINAR,01/12/1992,-
2810205,ACIDO ORTOFOSFORICO PURIFICADO,01/12/1992,-
